"filename", "language", "JSON", "Markdown", "YAML", "Shell Script", "JavaScript", "CSS", "Docker", "HTML", "comment", "blank", "total"
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\phlebotomist.js", "JavaScript", 0, 0, 0, 0, 97, 0, 0, 0, 6, 19, 122
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\radiology-thesis.js", "JavaScript", 0, 0, 0, 0, 136, 0, 0, 0, 18, 26, 180
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\radiology.js", "JavaScript", 0, 0, 0, 0, 72, 0, 0, 0, 7, 18, 97
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\resident-thesis.js", "JavaScript", 0, 0, 0, 0, 257, 0, 0, 0, 53, 35, 345
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\resident.js", "JavaScript", 0, 0, 0, 0, 84, 0, 0, 0, 7, 20, 111
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\tech-thesis.js", "JavaScript", 0, 0, 0, 0, 237, 0, 0, 0, 32, 30, 299
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\tech.js", "JavaScript", 0, 0, 0, 0, 96, 0, 0, 0, 7, 17, 120
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\triage-nurse-thesis.js", "JavaScript", 0, 0, 0, 0, 103, 0, 0, 0, 11, 24, 138
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\triage-nurse.js", "JavaScript", 0, 0, 0, 0, 79, 0, 0, 0, 10, 21, 110
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\xray-thesis.js", "JavaScript", 0, 0, 0, 0, 181, 0, 0, 0, 27, 28, 236
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\people\xray.js", "JavaScript", 0, 0, 0, 0, 76, 0, 0, 0, 9, 18, 103
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\setup-table.js", "JavaScript", 0, 0, 0, 0, 89, 0, 0, 0, 49, 24, 162
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\simulations.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 4, 0, 20
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\acomment.js", "JavaScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 13, 57
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\aroom.js", "JavaScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 13, 58
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\athing.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 6, 19
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\computer-entry-status.js", "JavaScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\computer-entry.js", "JavaScript", 0, 0, 0, 0, 246, 0, 0, 0, 7, 62, 315
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\computer.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 1, 6, 21
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\hospital.js", "JavaScript", 0, 0, 0, 0, 118, 0, 0, 0, 46, 28, 192
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\location-status.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\patient-temp-state.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 2, 2, 13
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\room-type.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\room.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 7, 48
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\support\task-thesis.js", "JavaScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\three.css", "CSS", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\src\url-parser.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 1, 3, 17
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\test\one.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 35, 13, 48
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\test\selenium.test.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 4, 7, 42
"c:\Users\ryan\Desktop\Ryan's Folder\Github\examples\thesis-notes.md", "Markdown", 0, 39, 0, 0, 0, 0, 0, 0, 0, 9, 48
"Total", "-", 18588, 127, 32, 14, 35061, 44, 29, 22, 1381, 2686, 57984
